"date","close","volume","open","high","low"

"2017/05/19","130.7450","95318.0000","130.5600","131.0900","130.4601"
"2017/05/18","129.9300","61376.0000","129.1800","130.1300","129.0500"
"2017/05/17","128.2770","174478.0000","129.7000","129.8700","128.2770"
"2017/05/16","130.0700","268469.0000","129.8210","130.3500","129.6500"
"2017/05/15","127.6300","50453.0000","126.9700","127.9000","126.8000"
"2017/05/12","127.5450","54797.0000","127.4900","127.6900","126.9190"
"2017/05/11","125.2800","54272.0000","126.3300","126.3300","125.1100"
"2017/05/10","126.5000","57566.0000","126.2600","126.5000","126.0300"
"2017/05/09","126.0800","83986.0000","126.7000","126.8400","125.7000"
"2017/05/08","126.0700","103825.0000","126.6900","126.8500","125.9000"
"2017/05/05","127.3900","54663.0000","125.9020","127.4100","125.8100"
"2017/05/04","125.0000","53048.0000","124.1600","125.0000","124.1400"
"2017/05/03","123.2200","88132.0000","122.5120","123.3100","122.5120"
"2017/05/02","121.4800","112361.0000","120.6800","121.5000","120.4300"
"2017/05/01","122.2300","51764.0000","122.5600","122.5600","121.4900"
"2017/04/28","124.4280","43185.0000","123.2350","124.4500","122.6250"
"2017/04/27","122.6150","71973.0000","122.8020","123.1400","122.4100"
"2017/04/26","117.8070","61420.0000","117.6120","118.0400","117.5000"
"2017/04/25","118.7560","37572.0000","118.4300","118.7600","118.1560"
"2017/04/24","118.0500","77978.0000","117.8550","118.0500","117.4800"
"2017/04/21","113.1000","55884.0000","112.5800","113.1000","112.1700"
"2017/04/20","112.0580","46017.0000","112.3310","112.5600","111.8600"
"2017/04/19","111.2900","78426.0000","111.5900","112.1100","111.2000"
"2017/04/18","111.6920","194636.0000","112.2900","112.3930","111.3800"
"2017/04/17","113.6190","62162.0000","112.9540","113.9900","112.9540"
"2017/04/13","113.0100","44523.0000","113.3400","113.4600","112.8400"
"2017/04/12","113.0600","51335.0000","112.7500","113.2200","112.4900"
"2017/04/11","112.6600","55560.0000","113.1200","113.1900","111.7700"
"2017/04/10","113.2400","112784.0000","114.0100","114.0400","113.2300"
"2017/04/07","114.5000","130087.0000","114.0500","114.5400","114.0000"
"2017/04/06","114.4300","36761.0000","114.7600","114.8800","114.3000"
"2017/04/05","114.9000","42287.0000","115.2700","115.8100","114.8400"
"2017/04/04","114.9400","48213.0000","114.3650","115.0100","114.3475"
"2017/04/03","115.4700","78233.0000","115.4170","115.5500","114.5200"
"2017/03/31","115.3200","37343.0000","114.4050","115.6100","114.4050"
"2017/03/30","114.0225","39662.0000","114.4800","114.6100","114.0000"
"2017/03/29","115.2500","61380.0000","114.9900","115.2500","114.8500"
"2017/03/28","115.8500","59636.0000","116.5000","116.5400","115.8000"
"2017/03/27","116.0700","70291.0000","115.6200","116.1300","115.4000"
"2017/03/24","115.4450","101822.0000","116.0950","116.0950","115.1116"
"2017/03/23","114.7290","54683.0000","114.3500","115.5900","114.3500"
"2017/03/22","113.7550","41452.0000","113.7710","114.5300","113.4300"
"2017/03/21","113.5300","46869.0000","115.9540","116.0800","113.4300"
"2017/03/20","114.2325","37429.0000","114.5250","114.6700","114.0100"
"2017/03/17","114.8650","62292.0000","115.0900","115.2800","114.7600"
"2017/03/16","115.2400","59298.0000","114.7600","115.4300","114.3340"
"2017/03/15","114.3100","99933.0000","112.9380","114.3100","112.9200"
"2017/03/14","114.0000","137039.0000","113.5200","114.2100","113.2800"
"2017/03/13","114.4750","52296.0000","114.3910","114.8500","114.3600"
"2017/03/10","114.2700","60853.0000","114.0110","114.2800","113.5300"
"2017/03/09","112.0400","36715.0000","112.0200","112.6700","111.8700"
"2017/03/08","111.6400","54274.0000","112.6230","112.7690","111.6400"
"2017/03/07","113.3900","75452.0000","113.1500","113.5000","113.0000"
"2017/03/06","113.3000","154447.0000","113.5450","113.5600","112.7600"
"2017/03/03","113.3000","185204.0000","112.3610","113.3300","112.0000"
"2017/03/02","111.4800","54134.0000","111.4300","111.7500","111.2200"
"2017/03/01","111.7100","86090.0000","111.1400","111.9400","110.9500"
"2017/02/28","110.2100","285964.0000","110.2000","110.7400","110.2000"
"2017/02/27","110.5800","74260.0000","110.8100","111.2800","110.4500"
"2017/02/24","110.7400","49717.0000","110.1550","110.7400","110.1550"
"2017/02/23","111.3750","233998.0000","112.4600","112.4600","111.0100"
"2017/02/22","113.8500","344458.0000","113.0450","114.0300","112.8400"
"2017/02/21","115.0000","95881.0000","113.9350","115.0000","113.9000"
"2017/02/17","113.2900","44764.0000","112.6800","113.2900","112.6600"
"2017/02/16","113.2400","50597.0000","113.0600","113.3900","112.9200"
"2017/02/15","112.4850","68102.0000","111.4500","112.6600","111.4500"
"2017/02/14","112.3400","48996.0000","112.4100","112.6400","111.9320"
"2017/02/13","112.9800","30563.0000","113.4710","113.4800","112.7500"
